category,level,region,year,quarter,registered_users
user,state,karnataka,2019,2,11968087
user,state,andhra pradesh,2019,2,9389003
user,state,telangana,2019,2,9046007
user,state,rajasthan,2019,2,8783935
user,state,west bengal,2019,2,8612795
user,state,gujarat,2019,2,7574645
user,state,tamil nadu,2019,2,7429609
user,state,madhya pradesh,2019,2,7301172
user,district,bengaluru urban,2019,2,5694165
user,district,pune,2019,2,3514081
user,district,jaipur,2019,2,2290462
user,district,mumbai suburban,2019,2,2151657
user,district,thane,2019,2,2118406
user,district,hyderabad,2019,2,1856926
user,district,ahmadabad,2019,2,1656341
user,district,rangareddy,2019,2,1651300
user,district,medchal malkajgiri,2019,2,1428880
user,district,surat,2019,2,1338584
user,pincode,201301,2019,2,336709
user,pincode,110059,2019,2,274593
user,pincode,560068,2019,2,263531
user,pincode,500072,2019,2,242007
user,pincode,110092,2019,2,228546
user,pincode,122001,2019,2,217913
user,pincode,421302,2019,2,182371
user,pincode,395006,2019,2,180042
user,pincode,560078,2019,2,178837
user,pincode,110086,2019,2,177199
user,state,maharashtra,2019,3,21313081
user,state,uttar pradesh,2019,3,16044607
user,state,karnataka,2019,3,13635075
user,state,andhra pradesh,2019,3,10458693
user,state,telangana,2019,3,10090557
user,state,rajasthan,2019,3,9797304
user,state,west bengal,2019,3,9643222
user,state,gujarat,2019,3,8429299
user,state,tamil nadu,2019,3,8428835
user,state,madhya pradesh,2019,3,8180664
user,district,bengaluru urban,2019,3,6383771
user,district,pune,2019,3,4004991
user,district,jaipur,2019,3,2520933
user,district,mumbai suburban,2019,3,2407754
user,district,thane,2019,3,2396815
user,district,hyderabad,2019,3,2071673
user,district,ahmadabad,2019,3,1848860
user,district,rangareddy,2019,3,1826019
user,district,medchal malkajgiri,2019,3,1572320
user,district,surat,2019,3,1481391
user,pincode,201301,2019,3,369425
user,pincode,110059,2019,3,300007
user,pincode,560068,2019,3,289417
user,pincode,500072,2019,3,261019
user,pincode,110092,2019,3,248727
user,pincode,122001,2019,3,239679
user,pincode,421302,2019,3,208109
user,pincode,395006,2019,3,198132
user,pincode,110086,2019,3,194575
user,pincode,800001,2019,3,194197
user,state,maharashtra,2019,4,23745297
user,state,uttar pradesh,2019,4,17949542
user,state,karnataka,2019,4,15385416
user,state,andhra pradesh,2019,4,11757883
user,state,telangana,2019,4,11220691
user,state,rajasthan,2019,4,10925031
user,state,west bengal,2019,4,10885058
user,state,tamil nadu,2019,4,9620493
user,state,gujarat,2019,4,9323799
user,state,madhya pradesh,2019,4,9165241
user,district,bengaluru urban,2019,4,7016836
user,district,pune,2019,4,4416899
user,district,jaipur,2019,4,2746860
user,district,thane,2019,4,2638051
user,district,mumbai suburban,2019,4,2630360
user,district,hyderabad,2019,4,2283903
user,district,ahmadabad,2019,4,2015947
user,district,rangareddy,2019,4,2001437
user,district,medchal malkajgiri,2019,4,1714832
