state,year,payment_category,type,count,amount,source_file
india,2019,Peer-to-peer payments,TOTAL,703497002,1963952535223.0903,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2019\4.json
india,2019,Merchant payments,TOTAL,456578271,174239646473.03162,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2019\4.json
india,2019,Recharge & bill payments,TOTAL,285310032,116344996244.26738,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2019\4.json
india,2019,Financial Services,TOTAL,2476840,551204225.4200497,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2019\4.json
india,2019,Others,TOTAL,12583379,4811822509.649999,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2019\4.json
india,2020,Peer-to-peer payments,TOTAL,693998661,2320557268853.593,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2020\1.json
india,2020,Merchant payments,TOTAL,566355270,231298042209.83606,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2020\1.json
india,2020,Recharge & bill payments,TOTAL,351300991,140373550367.1558,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2020\1.json
india,2020,Financial Services,TOTAL,1358171,773848137.0300016,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2020\1.json
india,2020,Others,TOTAL,10027019,4116905195.8207293,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2020\1.json
india,2020,Peer-to-peer payments,TOTAL,631031364,2243915932390.771,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2020\2.json
india,2020,Recharge & bill payments,TOTAL,448842692,171590686463.15784,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2020\2.json
india,2020,Merchant payments,TOTAL,363275861,226908226049.51398,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2020\2.json
india,2020,Financial Services,TOTAL,1682062,1751767444.1000087,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2020\2.json
india,2020,Others,TOTAL,3779461,1987466180.2098684,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2020\2.json
india,2020,Peer-to-peer payments,TOTAL,916790263,3287051873253.504,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2020\3.json
india,2020,Merchant payments,TOTAL,672019839,405291207894.2984,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2020\3.json
india,2020,Recharge & bill payments,TOTAL,436172619,204262355709.72183,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2020\3.json
india,2020,Financial Services,TOTAL,2531978,2673063432.9600067,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2020\3.json
india,2020,Others,TOTAL,5541374,2789907563.6502213,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2020\3.json
india,2020,Peer-to-peer payments,TOTAL,1249512647,4474548495095.518,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2020\4.json
india,2020,Merchant payments,TOTAL,1127490136,684873639322.252,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2020\4.json
india,2020,Recharge & bill payments,TOTAL,479784084,227875840842.1121,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2020\4.json
